2026-04-28 17:34:49,061 | ERROR   | dwh_setup |   step 14  BL_CN: v_failed_runs view                      bl_cn/bl_cn_view/v_failed_runs.sql
2026-04-28 17:34:49,061 | ERROR   | dwh_setup |   step 15  BL_CN: v_pipeline_runs view                    bl_cn/bl_cn_view/v_pipeline_runs.sql
2026-04-28 17:34:49,061 | ERROR   | dwh_setup |   step 16  SA_AUDIT: file_load_log table                  sa_audit/sa_audit_table/file_load_log.sql
2026-04-28 17:34:49,061 | ERROR   | dwh_setup |   step 17  SA_AUDIT: file_load_log indexes                sa_audit/sa_audit_index/file_load_log.sql
2026-04-28 17:34:49,062 | ERROR   | dwh_setup |   step 18  SRC: sales_offline table                       src/src_table/sales_offline.sql
2026-04-28 17:34:49,062 | ERROR   | dwh_setup |   step 19  SRC: sales_online table                        src/src_table/sales_online.sql
2026-04-28 17:34:49,062 | ERROR   | dwh_setup |   step 20  STG: reject_sales table                        stg_cl/stg_cl_table/reject_sales.sql
2026-04-28 17:34:49,062 | ERROR   | dwh_setup |   step 21  STG: sales_offline table                       stg_cl/stg_cl_table/sales_offline.sql
2026-04-28 17:34:49,063 | ERROR   | dwh_setup |   step 22  STG: sales_online table                        stg_cl/stg_cl_table/sales_online.sql
2026-04-28 17:34:49,063 | ERROR   | dwh_setup |   step 23  STG: reject_sales index                        stg_cl/stg_cl_index/reject_sales.sql
2026-04-28 17:34:49,063 | ERROR   | dwh_setup |   step 24  STG: sales_offline indexes                     stg_cl/stg_cl_index/sales_offline.sql
2026-04-28 17:34:49,064 | ERROR   | dwh_setup |   step 25  STG: sales_online indexes                      stg_cl/stg_cl_index/sales_online.sql
2026-04-28 17:34:49,064 | ERROR   | dwh_setup |   step 26  BL_3NF: sequences                              bl_3nf/bl_3nf_sequence/surrogate_keys.sql
2026-04-28 17:34:49,064 | ERROR   | dwh_setup |   step 27  BL_3NF: ce_suppliers table                     bl_3nf/bl_3nf_tables/ce_suppliers.sql
2026-04-28 17:34:49,065 | ERROR   | dwh_setup |   step 28  BL_3NF: ce_shippings table                     bl_3nf/bl_3nf_tables/ce_shippings.sql
2026-04-28 17:34:49,065 | ERROR   | dwh_setup |   step 29  BL_3NF: ce_store_branches table                bl_3nf/bl_3nf_tables/ce_store_branches.sql
2026-04-28 17:34:49,065 | ERROR   | dwh_setup |   step 30  BL_3NF: ce_products table                      bl_3nf/bl_3nf_tables/ce_products.sql
2026-04-28 17:34:49,065 | ERROR   | dwh_setup |   step 31  BL_3NF: ce_customers_scd table                 bl_3nf/bl_3nf_tables/ce_customers_scd.sql
2026-04-28 17:34:49,066 | ERROR   | dwh_setup |   step 32  BL_3NF: ce_employees_scd table                 bl_3nf/bl_3nf_tables/ce_employees_scd.sql
2026-04-28 17:34:49,066 | ERROR   | dwh_setup |   step 33  BL_3NF: ce_transactions table                  bl_3nf/bl_3nf_tables/ce_transactions.sql
2026-04-28 17:34:49,066 | ERROR   | dwh_setup |   step 34  BL_3NF: ce_suppliers indexes                   bl_3nf/bl_3nf_index/ce_suppliers.sql
2026-04-28 17:34:49,067 | ERROR   | dwh_setup |   step 35  BL_3NF: ce_shippings indexes                   bl_3nf/bl_3nf_index/ce_shippings.sql
2026-04-28 17:34:49,067 | ERROR   | dwh_setup |   step 36  BL_3NF: ce_store_branches index                bl_3nf/bl_3nf_index/ce_store_branches.sql
2026-04-28 17:34:49,067 | ERROR   | dwh_setup |   step 37  BL_3NF: ce_products indexes                    bl_3nf/bl_3nf_index/ce_products.sql
2026-04-28 17:34:49,067 | ERROR   | dwh_setup |   step 38  BL_3NF: ce_customers_scd indexes               bl_3nf/bl_3nf_index/ce_customers_scd.sql
2026-04-28 17:34:49,068 | ERROR   | dwh_setup |   step 39  BL_3NF: ce_employees_scd indexes               bl_3nf/bl_3nf_index/ce_employees_scd.sql
2026-04-28 17:34:49,068 | ERROR   | dwh_setup |   step 40  BL_3NF: ce_transactions indexes                bl_3nf/bl_3nf_index/ce_transactions.sql
2026-04-28 17:34:49,068 | ERROR   | dwh_setup |   step 41  BL_3NF: unknown members                        bl_3nf/bl_3nf_unknown_members/insert_unknown_members.sql
2026-04-28 17:34:49,068 | ERROR   | dwh_setup |   step 42  BL_DM: sequences                               bl_dm/bl_dm_table_sequence/surrogate_keys.sql
2026-04-28 17:34:49,068 | ERROR   | dwh_setup |   step 43  BL_DM: dm_suppliers table                      bl_dm/bl_dm_table/dm_suppliers.sql
2026-04-28 17:34:49,068 | ERROR   | dwh_setup |   step 44  BL_DM: dm_shippings table                      bl_dm/bl_dm_table/dm_shippings.sql
2026-04-28 17:34:49,070 | ERROR   | dwh_setup |   step 45  BL_DM: dm_store_branches table                 bl_dm/bl_dm_table/dm_store_branches.sql
2026-04-28 17:34:49,070 | ERROR   | dwh_setup |   step 46  BL_DM: dim_dates table                         bl_dm/bl_dm_table/dim_dates.sql
2026-04-28 17:34:49,070 | ERROR   | dwh_setup |   step 47  BL_DM: dm_customers_scd table                  bl_dm/bl_dm_table/dm_customers_scd.sql
2026-04-28 17:34:49,070 | ERROR   | dwh_setup |   step 48  BL_DM: dm_employees_scd table                  bl_dm/bl_dm_table/dm_employees_scd.sql
2026-04-28 17:34:49,071 | ERROR   | dwh_setup |   step 49  BL_DM: dm_junk_transactions table              bl_dm/bl_dm_table/dm_junk_transactions.sql
2026-04-28 17:34:49,071 | ERROR   | dwh_setup |   step 50  BL_DM: dm_products table                       bl_dm/bl_dm_table/dm_products.sql
2026-04-28 17:34:49,071 | ERROR   | dwh_setup |   step 51  BL_DM: fct_transactions_dd table               bl_dm/bl_dm_table/fct_transactions_dd.sql
2026-04-28 17:34:49,072 | ERROR   | dwh_setup |   step 52  BL_DM: dm_suppliers indexes                    bl_dm/bl_dm_index/dm_suppliers.sql
2026-04-28 17:34:49,073 | ERROR   | dwh_setup |   step 53  BL_DM: dm_shippings indexes                    bl_dm/bl_dm_index/dm_shippings.sql
2026-04-28 17:34:49,073 | ERROR   | dwh_setup |   step 54  BL_DM: dm_store_branches indexes               bl_dm/bl_dm_index/dm_store_branches.sql
2026-04-28 17:34:49,073 | ERROR   | dwh_setup |   step 55  BL_DM: dim_dates indexes                       bl_dm/bl_dm_index/dim_dates.sql
2026-04-28 17:34:49,073 | ERROR   | dwh_setup |   step 56  BL_DM: dm_customers_scd indexes                bl_dm/bl_dm_index/dm_customers_scd.sql
2026-04-28 17:34:49,074 | ERROR   | dwh_setup |   step 57  BL_DM: dm_employees_scd indexes                bl_dm/bl_dm_index/dm_employees_scd.sql
2026-04-28 17:34:49,075 | ERROR   | dwh_setup |   step 58  BL_DM: dm_junk index                           bl_dm/bl_dm_index/dm_junk_transactions.sql
2026-04-28 17:34:49,075 | ERROR   | dwh_setup |   step 59  BL_DM: dm_products indexes                     bl_dm/bl_dm_index/dm_products.sql
2026-04-28 17:34:49,075 | ERROR   | dwh_setup |   step 60  BL_DM: fct_transactions indexes                bl_dm/bl_dm_index/fct_transactions_dd.sql
2026-04-28 17:34:49,075 | ERROR   | dwh_setup |   step 61  BL_DM: unknown members                         bl_dm/bl_dm_unknown_members/insert_unknown_members.sql
2026-04-28 17:34:49,076 | ERROR   | dwh_setup |   step 62  Permissions                                    setup/permission.sql
2026-04-29 14:12:53,615 | INFO    | orchestrator | DWH PIPELINE ORCHESTRATOR 
2026-04-29 14:12:53,616 | INFO    | orchestrator |   Pipeline : all                                   ║
2026-04-29 14:12:53,617 | INFO    | orchestrator |   Started  : 2026-04-29 14:12:53                   ║
2026-04-29 14:12:53,617 | INFO    | orchestrator |   Steps    : 4                                     ║
2026-04-29 14:12:53,617 | INFO    | orchestrator | 
2026-04-29 14:12:53,617 | INFO    | orchestrator | ═══  [1/4]  Create DWH  ═══
2026-04-29 14:12:53,789 | ERROR   | dwh_setup | Missing SQL files — aborting before any DB changes:
2026-04-29 14:12:53,790 | ERROR   | dwh_setup |   step 01  Create database                                bootstrap/database.sql
2026-04-29 14:12:53,790 | ERROR   | dwh_setup |   step 02  Create roles & users                           bootstrap/roles.sql
2026-04-29 14:12:53,790 | ERROR   | dwh_setup |   step 03  Create schemas                                 setup/schema.sql
2026-04-29 14:12:53,790 | ERROR   | dwh_setup |   step 04  Role DB settings                               setup/role.sql
2026-04-29 14:12:53,791 | ERROR   | dwh_setup |   step 05  BL_CN: etl_run table                           bl_cn/bl_cn_table/etl_run.sql
2026-04-29 14:12:53,791 | ERROR   | dwh_setup |   step 06  BL_CN: etl_log table                           bl_cn/bl_cn_table/etl_log.sql
2026-04-29 14:12:53,792 | ERROR   | dwh_setup |   step 07  BL_CN: etl_run index                           bl_cn/bl_cn_index/etl_run.sql
2026-04-29 14:12:53,792 | ERROR   | dwh_setup |   step 08  BL_CN: etl_log indexes                         bl_cn/bl_cn_index/etl_log.sql
2026-04-29 14:12:53,792 | ERROR   | dwh_setup |   step 09  BL_CN: log_start function                      bl_cn/bl_cn_function/log_start.sql
2026-04-29 14:12:53,792 | ERROR   | dwh_setup |   step 10  BL_CN: log_success procedure                   bl_cn/bl_cn_procedure/log_success.sql
2026-04-29 14:12:53,792 | ERROR   | dwh_setup |   step 11  BL_CN: log_failure procedure                   bl_cn/bl_cn_procedure/log_failure.sql
2026-04-29 14:12:53,792 | ERROR   | dwh_setup |   step 12  BL_CN: v_latest_runs view                      bl_cn/bl_cn_view/v_latest_runs.sql
2026-04-29 14:12:53,792 | ERROR   | dwh_setup |   step 13  BL_CN: v_etl_summary view                      bl_cn/bl_cn_view/v_etl_summary.sql
2026-04-29 14:12:53,793 | ERROR   | dwh_setup |   step 14  BL_CN: v_failed_runs view                      bl_cn/bl_cn_view/v_failed_runs.sql
2026-04-29 14:12:53,793 | ERROR   | dwh_setup |   step 15  BL_CN: v_pipeline_runs view                    bl_cn/bl_cn_view/v_pipeline_runs.sql
2026-04-29 14:12:53,793 | ERROR   | dwh_setup |   step 16  SA_AUDIT: file_load_log table                  sa_audit/sa_audit_table/file_load_log.sql
2026-04-29 14:12:53,793 | ERROR   | dwh_setup |   step 17  SA_AUDIT: file_load_log indexes                sa_audit/sa_audit_index/file_load_log.sql
2026-04-29 14:12:53,794 | ERROR   | dwh_setup |   step 18  SRC: sales_offline table                       src/src_table/sales_offline.sql
2026-04-29 14:12:53,794 | ERROR   | dwh_setup |   step 19  SRC: sales_online table                        src/src_table/sales_online.sql
2026-04-29 14:12:53,794 | ERROR   | dwh_setup |   step 20  STG: reject_sales table                        stg_cl/stg_cl_table/reject_sales.sql
2026-04-29 14:12:53,794 | ERROR   | dwh_setup |   step 21  STG: sales_offline table                       stg_cl/stg_cl_table/sales_offline.sql
2026-04-29 14:12:53,794 | ERROR   | dwh_setup |   step 22  STG: sales_online table                        stg_cl/stg_cl_table/sales_online.sql
2026-04-29 14:12:53,795 | ERROR   | dwh_setup |   step 23  STG: reject_sales index                        stg_cl/stg_cl_index/reject_sales.sql
2026-04-29 14:12:53,796 | ERROR   | dwh_setup |   step 24  STG: sales_offline indexes                     stg_cl/stg_cl_index/sales_offline.sql
2026-04-29 14:12:53,796 | ERROR   | dwh_setup |   step 25  STG: sales_online indexes                      stg_cl/stg_cl_index/sales_online.sql
2026-04-29 14:12:53,796 | ERROR   | dwh_setup |   step 26  BL_3NF: sequences                              bl_3nf/bl_3nf_sequence/surrogate_keys.sql
2026-04-29 14:12:53,797 | ERROR   | dwh_setup |   step 27  BL_3NF: ce_suppliers table                     bl_3nf/bl_3nf_tables/ce_suppliers.sql
2026-04-29 14:12:53,797 | ERROR   | dwh_setup |   step 28  BL_3NF: ce_shippings table                     bl_3nf/bl_3nf_tables/ce_shippings.sql
2026-04-29 14:12:53,797 | ERROR   | dwh_setup |   step 29  BL_3NF: ce_store_branches table                bl_3nf/bl_3nf_tables/ce_store_branches.sql
2026-04-29 14:12:53,797 | ERROR   | dwh_setup |   step 30  BL_3NF: ce_products table                      bl_3nf/bl_3nf_tables/ce_products.sql
2026-04-29 14:12:53,797 | ERROR   | dwh_setup |   step 31  BL_3NF: ce_customers_scd table                 bl_3nf/bl_3nf_tables/ce_customers_scd.sql
2026-04-29 14:12:53,797 | ERROR   | dwh_setup |   step 32  BL_3NF: ce_employees_scd table                 bl_3nf/bl_3nf_tables/ce_employees_scd.sql
2026-04-29 14:12:53,798 | ERROR   | dwh_setup |   step 33  BL_3NF: ce_transactions table                  bl_3nf/bl_3nf_tables/ce_transactions.sql
2026-04-29 14:12:53,798 | ERROR   | dwh_setup |   step 34  BL_3NF: ce_suppliers indexes                   bl_3nf/bl_3nf_index/ce_suppliers.sql
2026-04-29 14:12:53,798 | ERROR   | dwh_setup |   step 35  BL_3NF: ce_shippings indexes                   bl_3nf/bl_3nf_index/ce_shippings.sql
2026-04-29 14:12:53,798 | ERROR   | dwh_setup |   step 36  BL_3NF: ce_store_branches index                bl_3nf/bl_3nf_index/ce_store_branches.sql
2026-04-29 14:12:53,798 | ERROR   | dwh_setup |   step 37  BL_3NF: ce_products indexes                    bl_3nf/bl_3nf_index/ce_products.sql
2026-04-29 14:12:53,798 | ERROR   | dwh_setup |   step 38  BL_3NF: ce_customers_scd indexes               bl_3nf/bl_3nf_index/ce_customers_scd.sql
2026-04-29 14:12:53,798 | ERROR   | dwh_setup |   step 39  BL_3NF: ce_employees_scd indexes               bl_3nf/bl_3nf_index/ce_employees_scd.sql
2026-04-29 14:12:53,798 | ERROR   | dwh_setup |   step 40  BL_3NF: ce_transactions indexes                bl_3nf/bl_3nf_index/ce_transactions.sql
2026-04-29 14:12:53,799 | ERROR   | dwh_setup |   step 41  BL_3NF: unknown members                        bl_3nf/bl_3nf_unknown_members/insert_unknown_members.sql
2026-04-29 14:12:53,799 | ERROR   | dwh_setup |   step 42  BL_DM: sequences                               bl_dm/bl_dm_table_sequence/surrogate_keys.sql
2026-04-29 14:12:53,799 | ERROR   | dwh_setup |   step 43  BL_DM: dm_suppliers table                      bl_dm/bl_dm_table/dm_suppliers.sql
2026-04-29 14:12:53,799 | ERROR   | dwh_setup |   step 44  BL_DM: dm_shippings table                      bl_dm/bl_dm_table/dm_shippings.sql
2026-04-29 14:12:53,799 | ERROR   | dwh_setup |   step 45  BL_DM: dm_store_branches table                 bl_dm/bl_dm_table/dm_store_branches.sql
2026-04-29 14:12:53,799 | ERROR   | dwh_setup |   step 46  BL_DM: dim_dates table                         bl_dm/bl_dm_table/dim_dates.sql
2026-04-29 14:12:53,800 | ERROR   | dwh_setup |   step 47  BL_DM: dm_customers_scd table                  bl_dm/bl_dm_table/dm_customers_scd.sql
2026-04-29 14:12:53,800 | ERROR   | dwh_setup |   step 48  BL_DM: dm_employees_scd table                  bl_dm/bl_dm_table/dm_employees_scd.sql
2026-04-29 14:12:53,800 | ERROR   | dwh_setup |   step 49  BL_DM: dm_junk_transactions table              bl_dm/bl_dm_table/dm_junk_transactions.sql
2026-04-29 14:12:53,800 | ERROR   | dwh_setup |   step 50  BL_DM: dm_products table                       bl_dm/bl_dm_table/dm_products.sql
2026-04-29 14:12:53,800 | ERROR   | dwh_setup |   step 51  BL_DM: fct_transactions_dd table               bl_dm/bl_dm_table/fct_transactions_dd.sql
2026-04-29 14:12:53,800 | ERROR   | dwh_setup |   step 52  BL_DM: dm_suppliers indexes                    bl_dm/bl_dm_index/dm_suppliers.sql
2026-04-29 14:12:53,800 | ERROR   | dwh_setup |   step 53  BL_DM: dm_shippings indexes                    bl_dm/bl_dm_index/dm_shippings.sql
2026-04-29 14:12:53,800 | ERROR   | dwh_setup |   step 54  BL_DM: dm_store_branches indexes               bl_dm/bl_dm_index/dm_store_branches.sql
2026-04-29 14:12:53,802 | ERROR   | dwh_setup |   step 55  BL_DM: dim_dates indexes                       bl_dm/bl_dm_index/dim_dates.sql
2026-04-29 14:12:53,802 | ERROR   | dwh_setup |   step 56  BL_DM: dm_customers_scd indexes                bl_dm/bl_dm_index/dm_customers_scd.sql
2026-04-29 14:12:53,803 | ERROR   | dwh_setup |   step 57  BL_DM: dm_employees_scd indexes                bl_dm/bl_dm_index/dm_employees_scd.sql
2026-04-29 14:12:53,803 | ERROR   | dwh_setup |   step 58  BL_DM: dm_junk index                           bl_dm/bl_dm_index/dm_junk_transactions.sql
2026-04-29 14:12:53,807 | ERROR   | dwh_setup |   step 59  BL_DM: dm_products indexes                     bl_dm/bl_dm_index/dm_products.sql
2026-04-29 14:12:53,808 | ERROR   | dwh_setup |   step 60  BL_DM: fct_transactions indexes                bl_dm/bl_dm_index/fct_transactions_dd.sql
2026-04-29 14:12:53,808 | ERROR   | dwh_setup |   step 61  BL_DM: unknown members                         bl_dm/bl_dm_unknown_members/insert_unknown_members.sql
2026-04-29 14:12:53,809 | ERROR   | dwh_setup |   step 62  Permissions                                    setup/permission.sql
2026-04-29 14:15:04,397 | INFO    | orchestrator | DWH PIPELINE ORCHESTRATOR 
2026-04-29 14:15:04,397 | INFO    | orchestrator |   Pipeline : all                                   ║
2026-04-29 14:15:04,398 | INFO    | orchestrator |   Started  : 2026-04-29 14:15:04                   ║
2026-04-29 14:15:04,398 | INFO    | orchestrator |   Steps    : 4                                     ║
2026-04-29 14:15:04,398 | INFO    | orchestrator | 
2026-04-29 14:15:04,399 | INFO    | orchestrator | ═══  [1/4]  Create DWH  ═══
2026-04-29 14:15:04,502 | ERROR   | dwh_setup | Missing SQL files — aborting before any DB changes:
2026-04-29 14:15:04,503 | ERROR   | dwh_setup |   step 20  STG: reject_sales table                        stg_cl/stg_cl_table/reject_sales.sql
2026-04-29 14:15:04,503 | ERROR   | dwh_setup |   step 21  STG: sales_offline table                       stg_cl/stg_cl_table/sales_offline.sql
2026-04-29 14:15:04,504 | ERROR   | dwh_setup |   step 22  STG: sales_online table                        stg_cl/stg_cl_table/sales_online.sql
2026-04-29 14:15:04,504 | ERROR   | dwh_setup |   step 23  STG: reject_sales index                        stg_cl/stg_cl_index/reject_sales.sql
2026-04-29 14:15:04,504 | ERROR   | dwh_setup |   step 24  STG: sales_offline indexes                     stg_cl/stg_cl_index/sales_offline.sql
2026-04-29 14:15:04,504 | ERROR   | dwh_setup |   step 25  STG: sales_online indexes                      stg_cl/stg_cl_index/sales_online.sql
2026-04-29 14:22:00,606 | INFO    | orchestrator | DWH PIPELINE ORCHESTRATOR 
2026-04-29 14:22:00,607 | INFO    | orchestrator |   Pipeline : all                                   ║
2026-04-29 14:22:00,607 | INFO    | orchestrator |   Started  : 2026-04-29 14:22:00                   ║
2026-04-29 14:22:00,608 | INFO    | orchestrator |   Steps    : 4                                     ║
2026-04-29 14:22:00,609 | INFO    | orchestrator | 
2026-04-29 14:22:00,609 | INFO    | orchestrator | ═══  [1/4]  Create DWH  ═══
2026-04-29 14:22:00,760 | INFO    | dwh_setup | ============================================================
2026-04-29 14:22:00,761 | INFO    | dwh_setup | DWH Infrastructure Setup  —  62 steps  (root: C:\Users\Ana\Desktop\Bachelor-s-Project\DWH_BUILD)
2026-04-29 14:22:00,761 | INFO    | dwh_setup | ============================================================
2026-04-29 14:22:00,895 | ERROR   | orchestrator | ═══  [1/4]  Create DWH    FAILED  (0.3s)  ═══
Traceback (most recent call last):
  File "C:\Users\Ana\Desktop\Bachelor-s-Project\PIPELINES\Orchestrator.py", line 161, in main
    func(args)
  File "C:\Users\Ana\Desktop\Bachelor-s-Project\PIPELINES\Orchestrator.py", line 69, in do_create_dwh
    infra_run(
  File "C:\Users\Ana\Desktop\Bachelor-s-Project\PIPELINES\Infrastructure_Setup.py", line 224, in run
    connections[target] = get_connection(env, target)
                          ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Ana\Desktop\Bachelor-s-Project\PIPELINES\Infrastructure_Setup.py", line 155, in get_connection
    conn = psycopg2.connect(**_build_dsn(env, dbname, role))
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Ana\Desktop\Bachelor-s-Project\SCRIPTS\.venv\Lib\site-packages\psycopg2\__init__.py", line 135, in connect
    conn = _connect(dsn, connection_factory=connection_factory, **kwasync)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
psycopg2.OperationalError: connection to server at "localhost" (::1), port 5432 failed: fe_sendauth: no password supplied

2026-04-29 14:22:00,910 | ERROR   | orchestrator | Pipeline aborted.
2026-04-29 14:23:06,459 | INFO    | orchestrator | DWH PIPELINE ORCHESTRATOR 
2026-04-29 14:23:06,460 | INFO    | orchestrator |   Pipeline : all                                   ║
2026-04-29 14:23:06,461 | INFO    | orchestrator |   Started  : 2026-04-29 14:23:06                   ║
2026-04-29 14:23:06,462 | INFO    | orchestrator |   Steps    : 4                                     ║
2026-04-29 14:23:06,466 | INFO    | orchestrator | 
2026-04-29 14:23:06,467 | INFO    | orchestrator | ═══  [1/4]  Create DWH  ═══
2026-04-29 14:23:06,554 | INFO    | dwh_setup | ============================================================
2026-04-29 14:23:06,555 | INFO    | dwh_setup | DWH Infrastructure Setup  —  62 steps  (root: C:\Users\Ana\Desktop\Bachelor-s-Project\DWH_BUILD)
2026-04-29 14:23:06,556 | INFO    | dwh_setup | ============================================================
2026-04-29 14:23:06,678 | ERROR   | orchestrator | ═══  [1/4]  Create DWH    FAILED  (0.2s)  ═══
Traceback (most recent call last):
  File "C:\Users\Ana\Desktop\Bachelor-s-Project\PIPELINES\Orchestrator.py", line 161, in main
    func(args)
